*font-awesome.txt*  Nerd Font Cheatsheets - Font Awesome

===============================================================================
																*font-awesome*
Nerd Font - Font Awesome ~

| Decimal | Unicode | Glyph |
| 61666   | \uf0e2  |      | *nerdfont-61666* *nerdfont-uf0e2* *nerdfont-*
| 61667   | \uf0e3  |      | *nerdfont-61667* *nerdfont-uf0e3* *nerdfont-*
| 61668   | \uf0e4  |      | *nerdfont-61668* *nerdfont-uf0e4* *nerdfont-*
| 61669   | \uf0e5  |      | *nerdfont-61669* *nerdfont-uf0e5* *nerdfont-*
| 61670   | \uf0e6  |      | *nerdfont-61670* *nerdfont-uf0e6* *nerdfont-*
| 61671   | \uf0e7  |      | *nerdfont-61671* *nerdfont-uf0e7* *nerdfont-*
| 61672   | \uf0e8  |      | *nerdfont-61672* *nerdfont-uf0e8* *nerdfont-*
| 61673   | \uf0e9  |      | *nerdfont-61673* *nerdfont-uf0e9* *nerdfont-*
| 61674   | \uf0ea  |      | *nerdfont-61674* *nerdfont-uf0ea* *nerdfont-*
| 61675   | \uf0eb  |      | *nerdfont-61675* *nerdfont-uf0eb* *nerdfont-*
| 61676   | \uf0ec  |      | *nerdfont-61676* *nerdfont-uf0ec* *nerdfont-*
| 61677   | \uf0ed  |      | *nerdfont-61677* *nerdfont-uf0ed* *nerdfont-*
| 61678   | \uf0ee  |      | *nerdfont-61678* *nerdfont-uf0ee* *nerdfont-*
| 61680   | \uf0f0  |      | *nerdfont-61680* *nerdfont-uf0f0* *nerdfont-*
| 61681   | \uf0f1  |      | *nerdfont-61681* *nerdfont-uf0f1* *nerdfont-*
| 61682   | \uf0f2  |      | *nerdfont-61682* *nerdfont-uf0f2* *nerdfont-*
| 61683   | \uf0f3  |      | *nerdfont-61683* *nerdfont-uf0f3* *nerdfont-*
| 61684   | \uf0f4  |      | *nerdfont-61684* *nerdfont-uf0f4* *nerdfont-*
| 61685   | \uf0f5  |      | *nerdfont-61685* *nerdfont-uf0f5* *nerdfont-*
| 61686   | \uf0f6  |      | *nerdfont-61686* *nerdfont-uf0f6* *nerdfont-*
| 61687   | \uf0f7  |      | *nerdfont-61687* *nerdfont-uf0f7* *nerdfont-*
| 61688   | \uf0f8  |      | *nerdfont-61688* *nerdfont-uf0f8* *nerdfont-*
| 61689   | \uf0f9  |      | *nerdfont-61689* *nerdfont-uf0f9* *nerdfont-*
| 61690   | \uf0fa  |      | *nerdfont-61690* *nerdfont-uf0fa* *nerdfont-*
| 61691   | \uf0fb  |      | *nerdfont-61691* *nerdfont-uf0fb* *nerdfont-*
| 61692   | \uf0fc  |      | *nerdfont-61692* *nerdfont-uf0fc* *nerdfont-*
| 61693   | \uf0fd  |      | *nerdfont-61693* *nerdfont-uf0fd* *nerdfont-*
| 61694   | \uf0fe  |      | *nerdfont-61694* *nerdfont-uf0fe* *nerdfont-*
| 61696   | \uf100  |      | *nerdfont-61696* *nerdfont-uf100* *nerdfont-*
| 61697   | \uf101  |      | *nerdfont-61697* *nerdfont-uf101* *nerdfont-*
| 61698   | \uf102  |      | *nerdfont-61698* *nerdfont-uf102* *nerdfont-*
| 61699   | \uf103  |      | *nerdfont-61699* *nerdfont-uf103* *nerdfont-*
| 61700   | \uf104  |      | *nerdfont-61700* *nerdfont-uf104* *nerdfont-*
