*devicons.txt*  Nerd Font Cheatsheets - Devicons

===============================================================================
																	*devicons*
Nerd Font - Devicons ~

| Decimal | Unicode | Glyph |
| 59233   | \ue761  |      | *nerdfont-59233* *nerdfont-ue761* *nerdfont-*
| 59234   | \ue762  |      | *nerdfont-59234* *nerdfont-ue762* *nerdfont-*
| 59235   | \ue763  |      | *nerdfont-59235* *nerdfont-ue763* *nerdfont-*
| 59236   | \ue764  |      | *nerdfont-59236* *nerdfont-ue764* *nerdfont-*
| 59237   | \ue765  |      | *nerdfont-59237* *nerdfont-ue765* *nerdfont-*
| 59238   | \ue766  |      | *nerdfont-59238* *nerdfont-ue766* *nerdfont-*
| 59239   | \ue767  |      | *nerdfont-59239* *nerdfont-ue767* *nerdfont-*
| 59240   | \ue768  |      | *nerdfont-59240* *nerdfont-ue768* *nerdfont-*
| 59241   | \ue769  |      | *nerdfont-59241* *nerdfont-ue769* *nerdfont-*
| 59242   | \ue76a  |      | *nerdfont-59242* *nerdfont-ue76a* *nerdfont-*
| 59243   | \ue76b  |      | *nerdfont-59243* *nerdfont-ue76b* *nerdfont-*
| 59244   | \ue76c  |      | *nerdfont-59244* *nerdfont-ue76c* *nerdfont-*
| 59245   | \ue76d  |      | *nerdfont-59245* *nerdfont-ue76d* *nerdfont-*
| 59246   | \ue76e  |      | *nerdfont-59246* *nerdfont-ue76e* *nerdfont-*
| 59247   | \ue76f  |      | *nerdfont-59247* *nerdfont-ue76f* *nerdfont-*
| 59248   | \ue770  |      | *nerdfont-59248* *nerdfont-ue770* *nerdfont-*
| 59249   | \ue771  |      | *nerdfont-59249* *nerdfont-ue771* *nerdfont-*
| 59250   | \ue772  |      | *nerdfont-59250* *nerdfont-ue772* *nerdfont-*
| 59251   | \ue773  |      | *nerdfont-59251* *nerdfont-ue773* *nerdfont-*
| 59252   | \ue774  |      | *nerdfont-59252* *nerdfont-ue774* *nerdfont-*
| 59253   | \ue775  |      | *nerdfont-59253* *nerdfont-ue775* *nerdfont-*
| 59254   | \ue776  |      | *nerdfont-59254* *nerdfont-ue776* *nerdfont-*
| 59255   | \ue777  |      | *nerdfont-59255* *nerdfont-ue777* *nerdfont-*
| 59256   | \ue778  |      | *nerdfont-59256* *nerdfont-ue778* *nerdfont-*
| 59257   | \ue779  |      | *nerdfont-59257* *nerdfont-ue779* *nerdfont-*
| 59258   | \ue77a  |      | *nerdfont-59258* *nerdfont-ue77a* *nerdfont-*
| 59259   | \ue77b  |      | *nerdfont-59259* *nerdfont-ue77b* *nerdfont-*
| 59260   | \ue77c  |      | *nerdfont-59260* *nerdfont-ue77c* *nerdfont-*
| 59261   | \ue77d  |      | *nerdfont-59261* *nerdfont-ue77d* *nerdfont-*
| 59262   | \ue77e  |      | *nerdfont-59262* *nerdfont-ue77e* *nerdfont-*
| 59263   | \ue77f  |      | *nerdfont-59263* *nerdfont-ue77f* *nerdfont-*
| 59264   | \ue780  |      | *nerdfont-59264* *nerdfont-ue780* *nerdfont-*
| 59265   | \ue781  |      | *nerdfont-59265* *nerdfont-ue781* *nerdfont-*
| 59266   | \ue782  |      | *nerdfont-59266* *nerdfont-ue782* *nerdfont-*
| 59267   | \ue783  |      | *nerdfont-59267* *nerdfont-ue783* *nerdfont-*
| 59268   | \ue784  |      | *nerdfont-59268* *nerdfont-ue784* *nerdfont-*
| 59269   | \ue785  |      | *nerdfont-59269* *nerdfont-ue785* *nerdfont-*
| 59270   | \ue786  |      | *nerdfont-59270* *nerdfont-ue786* *nerdfont-*
| 59271   | \ue787  |      | *nerdfont-59271* *nerdfont-ue787* *nerdfont-*
| 59272   | \ue788  |      | *nerdfont-59272* *nerdfont-ue788* *nerdfont-*
| 59273   | \ue789  |      | *nerdfont-59273* *nerdfont-ue789* *nerdfont-*
| 59274   | \ue78a  |      | *nerdfont-59274* *nerdfont-ue78a* *nerdfont-*
| 59275   | \ue78b  |      | *nerdfont-59275* *nerdfont-ue78b* *nerdfont-*
