*font-awesome-extensions.txt*  Nerd Font Cheatsheets - Font Awesome Extensions

===============================================================================
													  *font-awesome-extension*
Nerd Font - Font Awesome Extensions ~

| Decimal | Unicode | Glyph |
| 57962   | \ue26a  |      | *nerdfont-57962* *nerdfont-ue26a* *nerdfont-*
| 57963   | \ue26b  |      | *nerdfont-57963* *nerdfont-ue26b* *nerdfont-*
| 57964   | \ue26c  |      | *nerdfont-57964* *nerdfont-ue26c* *nerdfont-*
| 57965   | \ue26d  |      | *nerdfont-57965* *nerdfont-ue26d* *nerdfont-*
| 57966   | \ue26e  |      | *nerdfont-57966* *nerdfont-ue26e* *nerdfont-*
| 57967   | \ue26f  |      | *nerdfont-57967* *nerdfont-ue26f* *nerdfont-*
| 57968   | \ue270  |      | *nerdfont-57968* *nerdfont-ue270* *nerdfont-*
| 57969   | \ue271  |      | *nerdfont-57969* *nerdfont-ue271* *nerdfont-*
| 57970   | \ue272  |      | *nerdfont-57970* *nerdfont-ue272* *nerdfont-*
| 57971   | \ue273  |      | *nerdfont-57971* *nerdfont-ue273* *nerdfont-*
| 57972   | \ue274  |      | *nerdfont-57972* *nerdfont-ue274* *nerdfont-*
| 57973   | \ue275  |      | *nerdfont-57973* *nerdfont-ue275* *nerdfont-*
| 57974   | \ue276  |      | *nerdfont-57974* *nerdfont-ue276* *nerdfont-*
| 57975   | \ue277  |      | *nerdfont-57975* *nerdfont-ue277* *nerdfont-*
| 57976   | \ue278  |      | *nerdfont-57976* *nerdfont-ue278* *nerdfont-*
| 57977   | \ue279  |      | *nerdfont-57977* *nerdfont-ue279* *nerdfont-*
| 57978   | \ue27a  |      | *nerdfont-57978* *nerdfont-ue27a* *nerdfont-*
| 57979   | \ue27b  |      | *nerdfont-57979* *nerdfont-ue27b* *nerdfont-*
| 57980   | \ue27c  |      | *nerdfont-57980* *nerdfont-ue27c* *nerdfont-*
| 57981   | \ue27d  |      | *nerdfont-57981* *nerdfont-ue27d* *nerdfont-*
| 57982   | \ue27e  |      | *nerdfont-57982* *nerdfont-ue27e* *nerdfont-*
| 57983   | \ue27f  |      | *nerdfont-57983* *nerdfont-ue27f* *nerdfont-*
| 57984   | \ue280  |      | *nerdfont-57984* *nerdfont-ue280* *nerdfont-*
| 57985   | \ue281  |      | *nerdfont-57985* *nerdfont-ue281* *nerdfont-*
| 57986   | \ue282  |      | *nerdfont-57986* *nerdfont-ue282* *nerdfont-*
| 57987   | \ue283  |      | *nerdfont-57987* *nerdfont-ue283* *nerdfont-*
| 57988   | \ue284  |      | *nerdfont-57988* *nerdfont-ue284* *nerdfont-*
| 57989   | \ue285  |      | *nerdfont-57989* *nerdfont-ue285* *nerdfont-*
| 57990   | \ue286  |      | *nerdfont-57990* *nerdfont-ue286* *nerdfont-*
| 57991   | \ue287  |      | *nerdfont-57991* *nerdfont-ue287* *nerdfont-*
| 57992   | \ue288  |      | *nerdfont-57992* *nerdfont-ue288* *nerdfont-*
| 57993   | \ue289  |      | *nerdfont-57993* *nerdfont-ue289* *nerdfont-*
| 57994   | \ue28a  |      | *nerdfont-57994* *nerdfont-ue28a* *nerdfont-*
| 57995   | \ue28b  |      | *nerdfont-57995* *nerdfont-ue28b* *nerdfont-*
| 57996   | \ue28c  |      | *nerdfont-57996* *nerdfont-ue28c* *nerdfont-*
| 57997   | \ue28d  |      | *nerdfont-57997* *nerdfont-ue28d* *nerdfont-*
| 57998   | \ue28e  |      | *nerdfont-57998* *nerdfont-ue28e* *nerdfont-*
| 57999   | \ue28f  |      | *nerdfont-57999* *nerdfont-ue28f* *nerdfont-*
