*iec-power-symbols.txt*  Nerd Font Cheatsheets - IEC Power Symbols

===============================================================================
														   *iec-power-symbols*
Nerd Font - IEC Power Symbols ~

| Decimal | Unicode | Glyph |
| 09348   | \u2484  | ⒄     | *nerdfont-09348* *nerdfont-u2484* *nerdfont-⒄*
| 09349   | \u2485  | ⒅     | *nerdfont-09349* *nerdfont-u2485* *nerdfont-⒅*
| 09350   | \u2486  | ⒆     | *nerdfont-09350* *nerdfont-u2486* *nerdfont-⒆*
| 09351   | \u2487  | ⒇     | *nerdfont-09351* *nerdfont-u2487* *nerdfont-⒇*
| 09352   | \u2488  | ⒈     | *nerdfont-09352* *nerdfont-u2488* *nerdfont-⒈*
| 09353   | \u2489  | ⒉     | *nerdfont-09353* *nerdfont-u2489* *nerdfont-⒉*
| 09354   | \u248a  | ⒊     | *nerdfont-09354* *nerdfont-u248a* *nerdfont-⒊*
| 09355   | \u248b  | ⒋     | *nerdfont-09355* *nerdfont-u248b* *nerdfont-⒋*
| 09356   | \u248c  | ⒌     | *nerdfont-09356* *nerdfont-u248c* *nerdfont-⒌*
| 09357   | \u248d  | ⒍     | *nerdfont-09357* *nerdfont-u248d* *nerdfont-⒍*
| 09358   | \u248e  | ⒎     | *nerdfont-09358* *nerdfont-u248e* *nerdfont-⒎*
| 09359   | \u248f  | ⒏     | *nerdfont-09359* *nerdfont-u248f* *nerdfont-⒏*
| 09360   | \u2490  | ⒐     | *nerdfont-09360* *nerdfont-u2490* *nerdfont-⒐*
| 09361   | \u2491  | ⒑     | *nerdfont-09361* *nerdfont-u2491* *nerdfont-⒑*
| 09362   | \u2492  | ⒒     | *nerdfont-09362* *nerdfont-u2492* *nerdfont-⒒*
| 09363   | \u2493  | ⒓     | *nerdfont-09363* *nerdfont-u2493* *nerdfont-⒓*
| 09364   | \u2494  | ⒔     | *nerdfont-09364* *nerdfont-u2494* *nerdfont-⒔*
| 09365   | \u2495  | ⒕     | *nerdfont-09365* *nerdfont-u2495* *nerdfont-⒕*
| 09366   | \u2496  | ⒖     | *nerdfont-09366* *nerdfont-u2496* *nerdfont-⒖*
| 09367   | \u2497  | ⒗     | *nerdfont-09367* *nerdfont-u2497* *nerdfont-⒗*
| 09368   | \u2498  | ⒘     | *nerdfont-09368* *nerdfont-u2498* *nerdfont-⒘*
| 09369   | \u2499  | ⒙     | *nerdfont-09369* *nerdfont-u2499* *nerdfont-⒙*
| 09370   | \u249a  | ⒚     | *nerdfont-09370* *nerdfont-u249a* *nerdfont-⒚*
| 09371   | \u249b  | ⒛     | *nerdfont-09371* *nerdfont-u249b* *nerdfont-⒛*
| 09372   | \u249c  | ⒜     | *nerdfont-09372* *nerdfont-u249c* *nerdfont-⒜*
| 09373   | \u249d  | ⒝     | *nerdfont-09373* *nerdfont-u249d* *nerdfont-⒝*
| 09374   | \u249e  | ⒞     | *nerdfont-09374* *nerdfont-u249e* *nerdfont-⒞*
| 09375   | \u249f  | ⒟     | *nerdfont-09375* *nerdfont-u249f* *nerdfont-⒟*
| 09376   | \u24a0  | ⒠     | *nerdfont-09376* *nerdfont-u24a0* *nerdfont-⒠*
| 09377   | \u24a1  | ⒡     | *nerdfont-09377* *nerdfont-u24a1* *nerdfont-⒡*
| 09378   | \u24a2  | ⒢     | *nerdfont-09378* *nerdfont-u24a2* *nerdfont-⒢*
| 09379   | \u24a3  | ⒣     | *nerdfont-09379* *nerdfont-u24a3* *nerdfont-⒣*
| 09380   | \u24a4  | ⒤     | *nerdfont-09380* *nerdfont-u24a4* *nerdfont-⒤*
| 09381   | \u24a5  | ⒥     | *nerdfont-09381* *nerdfont-u24a5* *nerdfont-⒥*
| 09382   | \u24a6  | ⒦     | *nerdfont-09382* *nerdfont-u24a6* *nerdfont-⒦*
| 09383   | \u24a7  | ⒧     | *nerdfont-09383* *nerdfont-u24a7* *nerdfont-⒧*
| 09384   | \u24a8  | ⒨     | *nerdfont-09384* *nerdfont-u24a8* *nerdfont-⒨*
| 09385   | \u24a9  | ⒩     | *nerdfont-09385* *nerdfont-u24a9* *nerdfont-⒩*
| 09386   | \u24aa  | ⒪     | *nerdfont-09386* *nerdfont-u24aa* *nerdfont-⒪*
| 09387   | \u24ab  | ⒫     | *nerdfont-09387* *nerdfont-u24ab* *nerdfont-⒫*
